front.html                  Aide iFolder
overview.html               Présentation de iFolder
bx3aueg.html                Partage de iFolder
bq1r10z.html                Avantages de iFolder
bq1r110.html                Fonctionnalités clés de iFolder
bq1r110.html#bq1r111        Le client iFolder
bq1r110.html#bx3bipv        Compte iFolder
bq1r110.html#bq1r112        iFolders partagés
bq1r110.html#bq1r113        Droits d'accès iFolder
bq1r110.html#bq1r118        Synchronisation des fichiers et gestion des données
bq1r110.html#bq63xvh        Journal de synchronisation
bwcku86.html                Remarques relatives aux plates-formes
accountsprefs.html          Gestion des comptes et des préférences iFolder
bw08fxi.html                Démarrage du client iFolder
accounts.html               Configuration d'un compte iFolder
login.html                  Login à un compte iFolder
accountdetails.html         Affichage et modification des paramètres d'un compte iFolder
bvwsp7c.html                Suppression d'un compte iFolder
preferences.html            Définition des préférences iFolder du client
bvwppw5.html                Configuration des paramètres de pare-feu locaux pour le trafic iFolder
bwbirb9.html                Configuration des paramètres locaux de recherche de virus pour le trafic iFolder
myifolders.html             Gestion des iFolders
bx08x4y.html                Instructions de recherche des iFolders
bwensdb.html                Instructions relatives aux types et tailles de fichiers à ne pas synchroniser
bwagrrn.html                Conventions de dénomination d'un iFolder et de ses dossiers et fichiers
createifolder.html          Création d'un iFolder
createifolder.html#bwembx5   Création d'iFolders dans un gestionnaire de fichiers
createifolder.html#bwemc36   Création d'iFolders dans le dossier iFolders
createifolder.html#fat32mtpt   Création d'iFolders sur un point de montage FAT32 (Linux)
sharewith.html              Partage d'un iFolder
sharewith.html#bv2hnvt      Description des droits d'accès
sharewith.html#bq6lwm0      Ajout d'un utilisateur à un iFolder
sharewith.html#bq6lwma      Modification des droits d'accès utilisateur
sharewith.html#bq6lwmr      Suppression d'un utilisateur d'un iFolder
setupifolder.html           Configuration d'un iFolder disponible
propifolders.html           Propriétés d'affichage et configuration d'un iFolder
sync.html                   Synchronisation des fichiers
conflicts.html              Résolution des conflits de fichiers
reverting.html              Conversion d'un iFolder en dossier normal
movelocation.html           Déplacement d'un iFolder
deleting.html               Suppression d'un iFolder
legal.html                  Mentions légales
