front.html                  Ajuda do iFolder
overview.html               Visão geral do iFolder
bx3aueg.html                Compartilhamento de pasta iFolder
bq1r10z.html                Benefícios do iFolder
bq1r110.html                Principais recursos do iFolder
bq1r110.html#bq1r111        Cliente iFolder
bq1r110.html#bx3bipv        Conta do iFolder
bq1r110.html#bq1r112        Pastas iFolder compartilhadas
bq1r110.html#bq1r113        Direitos de acesso do iFolder
bq1r110.html#bq1r118        Sincronização de arquivos e gerenciamento de dados
bq1r110.html#bq63xvh        Registro de sincronização
bwcku86.html                Considerações sobre várias plataformas
accountsprefs.html          Gerenciando as contas e preferências do iFolder
bw08fxi.html                Iniciando o cliente iFolder
accounts.html               Configurando uma conta do iFolder
login.html                  Efetuando login em uma conta do iFolder
accountdetails.html         Visualizando e modificando configurações da conta do iFolder
bvwsp7c.html                Apagando uma conta do iFolder
preferences.html            Configurando as preferências do iFolder para o cliente
bvwppw5.html                Configurando as definições de firewall local para o tráfego do iFolder
bwbirb9.html                Configurando as definições do programa de varredura de vírus local para o tráfego do iFolder
myifolders.html             Gerenciando pastas iFolder
bx08x4y.html                Diretrizes para localização de pastas iFolder
bwensdb.html                Diretrizes para tipos e tamanhos de arquivos não sincronizados
bwagrrn.html                Convenções de nomeação para uma pasta iFolder e suas pastas e arquivos iFolders
createifolder.html          Criando uma pasta iFolder
createifolder.html#bwembx5   Criando pastas iFolder em um gerenciador de arquivos
createifolder.html#bwemc36   Criando pastas iFolder no browser de pastas iFolder
createifolder.html#fat32mtpt   Criando pastas iFolder em um Ponto de Montagem FAT32 (Linux)
sharewith.html              Compartilhando uma iFolder
sharewith.html#bv2hnvt      Compreendendo os direitos de acesso do usuário
sharewith.html#bq6lwm0      Adicionando um usuário a uma pasta iFolder
sharewith.html#bq6lwma      Modificando os direitos de acesso do usuário
sharewith.html#bq6lwmr      Removendo um usuário de uma pasta iFolder
setupifolder.html           Configurando uma pasta iFolder disponível
propifolders.html           Visualizando e configurando propriedades de uma pasta iFolder
sync.html                   Sincronizando arquivos
conflicts.html              Resolvendo conflitos de arquivos
reverting.html              Revertendo uma pasta iFolder para uma pasta normal
movelocation.html           Movendo uma pasta iFolder
deleting.html               Apagando uma pasta iFolder
legal.html                  Informações Legais
